HS Section,HS Chapter Code,HS Chapter,2015 / 01,2015 / 02,2015 / 03,2015 / 04,2015 / 05,2015 / 06,2015 / 07,2015 / 08,2015 / 09,2015 / 10,2015 / 11,2015 / 12,2016 / 01,2016 / 02,2016 / 03,2016 / 04,2016 / 05,2016 / 06,2016 / 07,2016 / 08,2016 / 09,2016 / 10,2016 / 11,2016 / 12,2017 / 01,2017 / 02,2017 / 03,2017 / 04,2017 / 05,2017 / 06,2017 / 07,2017 / 08,2017 / 09,2017 / 10,2017 / 11,2017 / 12,2018 / 01,2018 / 02,2018 / 03,2018 / 04,2018 / 05,2018 / 06,2018 / 07,2018 / 08,2018 / 09,2018 / 10,2018 / 11,2018 / 12,2019 / 01,2019 / 02,2019 / 03,2019 / 04,2019 / 05,2019 / 06,2019 / 07,2019 / 08,2019 / 09,2019 / 10,2019 / 11,2019 / 12,2020 / 01,2020 / 02,2020 / 03,2020 / 04,2020 / 05,2020 / 06,2020 / 07,2020 / 08,2020 / 09,2020 / 10,2020 / 11,2020 / 12,2021 / 01,2021 / 02,2021 / 03,2021 / 04,2021 / 05,2021 / 06,2021 / 07,2021 / 08,2021 / 09,2021 / 10,2021 / 11,2021 / 12,2022 / 01,2022 / 02,2022 / 03,2022 / 04,2022 / 05,2022 / 06,2022 / 07
Products of The Chemical and Allied Industries,35,ALBUMINOIDAL SUBSTANCES; STARCHES; GLUES; ENZYMES,12.056034,10.847034,10.89223,11.726923,9.132091,10.667395,8.625672,10.744572,6.986529,11.677545,11.487339,11.641871,13.530121,7.498485,11.452075,11.446051,12.400528,10.381634,7.7292,14.211415,6.290987,12.139164,12.215679,10.947112,10.989059,10.486979,12.235587,13.426965,12.501125,10.123786,13.326996,10.952773,10.103723,16.584406,13.304735,13.326998,13.388799,11.265073,11.374952,11.651862,12.059956,7.690883,14.338457,13.630828,11.436501,13.161493,15.349545,12.499286,14.277844,16.127025,14.268208,13.245757,13.900373,6.88557,12.50778,8.981125,12.715363,10.583628,11.312729,9.866809,12.319155,8.24724,11.637964,11.719424,8.210698,8.888408,11.608894,10.344453,9.229367,8.38667,10.399929,11.614861,11.227297,11.455867,16.706078,10.816602,12.69444,15.076576,9.881858,15.456756,16.827654,17.358689,17.280698,16.518364,21.27228,16.848978,21.780612,23.965473,17.244665,21.759539,17.996346
Products of The Chemical and Allied Industries,36,PYROTECHNIC PRODUCTS; MATCHES; SIMILAR,1.0303,0.9437,0.4212,1.3932,1.5142,0.2808,1.0692,2.738,2.3842,0.567111,2.19719,5.97429,1.104032,2.049,2.231113,0.817025,1.7881,3.363151,0.89465,2.364731,0.2268,1.5548,1.0336,1.0825,1.390262,0.851678,1.40853,1.716136,2.024475,0.552525,1.439507,1.568867,3.612743,4.432785,4.69577,1.732605,2.844231,4.307739,4.154477,2.74561,7.150674,2.272085,8.332339,2.141165,5.673561,9.302999,7.082326,6.797619,8.08423,6.47875,7.700344,4.04274,5.735093,3.350428,4.717958,1.04466,2.83322,3.8473,2.442479,1.635975,2.1929,0.826327,0.088152,0.2952,0.4563,5.346753,0.3015,1.176355,2.70621,0.015162,5.448262,0.363548,4.445043,0.32705,0.4686,3.21,2.62325,3.748418,0.2993,2.2785,2.73468,0.5297,4.500125,2.03391,0.2111,0.26658,3.837026,0.632,3.06116,0.474,0
Products of The Chemical and Allied Industries,37,PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS,0.018306,0.203696,0.34992,0.137376,0.390876,0.095588,0.236469,0.489916,0.926662,0.032264,0.327538,0.28398,0.125765,0.03578,0.157968,0.085903,0.559964,0.069299,4.296334,0.147844,0.016962,0.576876,0.16506,0.06026,0.03777,0.422331,0.102036,0.193583,1.30911,2.212468,0.875614,1.971804,0.638873,0.397776,0.122125,0.003656,0.867441,0.160914,0.201942,0.414183,0.244572,0.997304,0.70507,1.097243,0.749202,0.539015,0.29573,0.883583,0.242001,0.442402,0.646363,1.06954,0.972349,0.697463,1.102232,0.604271,0.532764,0.449368,0.608019,0.337052,1.00083,0.701323,0.25989,0.273661,0.206321,0.435829,0.539045,2.202596,0.478375,0.369157,0.072546,0.001875,0.701592,0.731687,1.657116,0.813916,0.548215,0.734389,0.010096,0.398356,0.835788,1.270262,0.315713,0.454745,0.587266,0.046367,0.721418,1.034057,0.3958,0.37992,0.024602
Products of The Chemical and Allied Industries,38,MISCELLANEOUS CHEMICAL PRODUCTS,206.236786,127.686159,150.316065,225.374753,149.954258,104.982925,194.860628,183.311764,160.725112,138.745678,236.798978,118.424891,231.66409,76.744182,244.403938,118.346902,98.838353,118.358191,114.763203,220.515954,94.62066,152.184096,129.840585,334.397074,125.175809,122.145959,131.437996,115.849805,229.2929,129.061672,285.629691,158.407001,100.925585,151.237588,172.284554,156.259332,285.454912,473.534689,245.606482,217.351917,204.848197,106.385917,413.969907,89.078957,155.366394,140.026628,135.893833,169.993033,184.457003,260.569988,336.685055,245.130455,188.9473,149.436438,179.581784,162.880228,146.887404,188.601694,207.845388,98.877382,173.092232,147.0858,331.78984,160.745189,131.999868,200.223631,140.951542,250.307764,306.179567,239.294818,179.481841,214.751948,223.451363,198.691175,520.793046,217.647544,534.792303,261.545617,253.437898,283.419101,281.533784,290.34466,335.810261,314.728633,285.075312,318.402354,301.713467,656.50953,639.199566,414.1224,402.932008
Plastics and Articles Thereof; Rubber and Articles Thereof,39,PLASTICS AND ARTICLES THEREOF,5014.889981,4846.950379,5092.347414,4842.060243,4818.736738,4874.991456,4963.373851,4801.434113,4295.465312,4866.310791,4599.428593,4493.77654,4167.816722,4015.141459,5027.578855,4345.675484,4821.452759,4397.414731,4475.117118,5160.087008,4481.98476,5117.470712,4980.503987,4740.658081,4893.929726,4007.831229,5525.221392,4615.972836,4590.203431,4203.619632,5748.746745,6298.666165,5513.767651,6493.112762,6125.97255,6050.641754,5807.756724,6187.269234,6203.189658,6440.460952,6788.124913,6483.679466,7369.220215,6500.266906,6231.0212,6816.683427,6864.016755,6813.719048,6553.346891,6021.984543,6248.930417,6208.691492,6151.004324,5655.803035,6053.791094,5745.598406,6270.472489,6108.631453,5219.400599,5354.071005,4932.397243,4451.336418,4677.032943,4582.499382,4207.025654,4770.195205,5218.41002,5223.135718,5461.311287,5834.537495,5831.164791,6473.278106,6023.531087,6188.351687,7394.696587,6415.060356,7639.27731,7917.100106,7642.706102,8213.150731,7769.41278,7456.520049,8039.68134,8366.38839,7673.11435,7434.994498,7769.546087,7374.618872,8501.222268,8713.12799,7311.147293
Plastics and Articles Thereof; Rubber and Articles Thereof,40,RUBBER AND ARTICLES THEREOF,17.90009,17.609874,20.430615,13.809991,14.278558,20.84927,26.795623,23.342919,13.987987,21.006425,27.986645,28.953617,25.624685,13.304689,15.167453,14.4916,14.353737,20.798565,21.235263,14.923012,16.547294,37.517597,39.270347,35.075147,46.518073,36.537762,60.013518,66.234052,50.27485,80.499622,70.905409,75.939359,61.901915,91.133507,74.863645,70.579368,99.013798,81.694033,103.689747,80.271832,73.591102,61.862922,89.363057,99.270226,133.581281,86.932221,114.397002,137.955623,141.153319,69.361821,79.045816,86.779322,106.95786,100.871586,117.607247,89.397873,125.654998,144.816019,102.895534,77.313155,133.096061,96.505947,85.407275,45.244271,57.642057,60.746077,68.19368,116.856191,91.618304,86.680318,109.5281,115.025262,102.394546,137.778057,145.046216,157.364917,167.870527,203.070895,174.332439,148.44978,159.792798,184.929697,239.417193,186.415755,232.128228,171.668528,261.534538,266.112658,255.918998,245.851716,218.552816
"Raw Hides and skins, Leather, Furs and Articles Thereof; Suitcases; Handbags and Similar",41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,31.99734,27.498178,29.772865,28.634047,20.360468,23.386395,15.217332,18.763287,16.785873,23.740595,25.651462,25.611451,18.912585,16.692331,17.711348,21.866199,24.742551,18.974078,14.818313,14.527226,18.691386,25.669291,20.458266,15.524456,31.201773,19.908497,27.939673,25.452832,32.596282,15.464709,27.339931,18.818166,13.071198,24.225561,24.56605,20.872799,28.527301,14.77153,20.71631,20.127943,20.228171,17.422604,14.641648,16.853137,15.262057,21.060973,19.0849,21.326719,20.044475,21.404961,19.619704,19.90534,20.33917,16.189467,21.537386,14.659107,19.273197,16.635468,19.084929,24.997393,17.611269,17.25299,15.000153,4.04038,4.186196,8.107864,9.125543,12.434915,11.633911,12.868622,12.80877,12.74054,9.553929,9.958697,16.083664,14.949084,14.682916,16.497928,13.78888,15.634199,14.568935,19.43992,20.31473,8.960037,18.665114,22.55018,26.975334,19.257571,16.430572,15.613377,8.430056
"Raw Hides and skins, Leather, Furs and Articles Thereof; Suitcases; Handbags and Similar",42,"LEATHER ARTICLES; SADDLERY; TRAVEL GOODS, HANDBAGS",1.547866,1.039345,3.221876,0.587652,1.024517,0.898668,0.523212,0.813043,1.987937,1.414388,2.673343,0.657137,1.568716,2.087944,2.012214,2.016565,4.351273,1.989857,1.359185,4.444965,1.866247,2.102678,3.30648,3.180018,2.504914,3.48514,1.947153,3.26231,3.514602,3.127158,1.189297,5.29922,0.469411,1.99611,1.935467,0.774254,0.605226,1.920467,2.13622,2.460253,2.843924,0.809286,3.181628,2.678135,3.95438,8.315258,6.193021,3.94654,3.697516,2.431537,2.199748,6.53459,3.534124,2.33037,3.409536,3.08011,6.230787,2.994673,4.777373,5.748793,5.505964,5.184533,3.381372,2.245644,1.760188,1.866151,2.018226,2.186979,1.380426,2.32343,1.128401,2.37234,2.640146,3.084518,3.604965,3.149402,2.585422,4.162172,1.991726,4.132485,2.723238,2.278218,3.693741,4.89675,8.088046,3.642569,6.498565,9.510889,2.167955,3.676566,4.942458
"Raw Hides and skins, Leather, Furs and Articles Thereof; Suitcases; Handbags and Similar",43,FURSKINS AND ARTIFICIAL FUR; MANUFACTURES THEREOF,0,0.225,0.0006,0,0,0,0.175088,0,0,0.00072,0.03,0.00376,0.03021,0.01,0,0.00735,0,0,0,0.00125,0.000144,0,0.024065,0.01204,0.00008,0,0.086519,0,0,0.057485,0.000888,0.00975,0,0.000065,0,0.01815,0,0,0,0,0,0,0.001243,0,0,1.316718,0.020306,0.001558,0,0,0,0,0,0,0,0.00004,0.00039,0.00144,0.012168,0.046384,0,0,0,0,0,0.003938,0,0,0,0.0003,0.193269,0,0,0,0,0,0.07775,0,0,0,0,0.001694,0.07652,0.004032,0.006396,0.002978,0.001818,0.156707,0.0081,0,0
Wood and Articles of Wood Charcoal; Cork and Articles of Cork.,44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL,12.881611,16.217944,17.31165,17.996625,18.418998,17.388398,13.490646,13.350869,11.568981,21.970742,18.730585,16.636961,13.53252,14.078784,15.771926,13.072851,14.505301,16.270087,8.465678,18.184585,10.676491,12.966362,15.479882,12.007226,10.972541,12.017171,17.967884,16.323842,21.313772,8.27091,15.411027,12.949598,9.89581,17.811768,19.54463,13.881304,13.036787,14.937478,18.454262,27.825936,33.857539,11.864252,26.018442,20.701847,27.343225,29.401983,26.747746,28.371486,31.142043,28.177693,69.858012,24.340192,21.8925,16.571296,32.187301,15.975424,19.457763,28.535655,21.83753,25.30775,22.387535,23.973872,17.251076,9.32743,8.640085,15.203526,19.800787,13.640719,21.081095,26.584901,23.407512,29.916879,23.080379,24.459532,34.1858,20.255764,14.468157,27.44185,26.928046,30.086251,32.97224,36.643215,41.213183,39.576467,46.287605,43.77963,46.239822,24.280289,23.365058,35.236228,22.665984
