Periodicity;Date;Year;Quarter;Economic Activity;GDP in Million Saudi Riyal
Quarterly;2013-12;2013;Q4;Construction;32742.55
Quarterly;2013-12;2013;Q4;Wholesale & Retail Trade, Restaurants & hotels;63131.29
Quarterly;2013-12;2013;Q4;Finance, Insurance, Real Estate & Business Services;68118.47
Quarterly;2013-12;2013;Q4;Finance, Insurance, Real Estate & Business Services : Real Estate;38170.83
Quarterly;2013-12;2013;Q4;Community, Social & Personal Services;13029.23
Quarterly;2014-03;2014;Q1;Agriculture, Forestry & Fishing;17798.73
Quarterly;2014-03;2014;Q1;Manufacturing : Petroleum Refining;16803.03
Quarterly;2014-03;2014;Q1;Finance, Insurance, Real Estate & Business Services;76686.35
Quarterly;2014-06;2014;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;307625.9
Quarterly;2014-06;2014;Q2;Mining & Quarrying : Other Mining & Quarrying;2662.05
Quarterly;2014-06;2014;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;40112.08
Quarterly;2014-06;2014;Q2;Government Services;97929.6
Quarterly;2014-06;2014;Q2;Gross Value Added;733717.69
Quarterly;2014-06;2014;Q2;Gross Domestic Product;739851.69
Quarterly;2014-09;2014;Q3;Transport, Storage & Communication;34039.27
Quarterly;2014-09;2014;Q3;Finance, Insurance, Real Estate & Business Services;71460.42
Quarterly;2014-09;2014;Q3;Community, Social & Personal Services;14832.77
Quarterly;2014-09;2014;Q3;Government Services;105021.24
Quarterly;2014-12;2014;Q4;Agriculture, Forestry & Fishing;14469.95
Quarterly;2014-12;2014;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;216103.67
Quarterly;2014-12;2014;Q4;Mining & Quarrying : Other Mining & Quarrying;2250.65
Quarterly;2014-12;2014;Q4;Manufacturing : Manufacturing excluding petroleum refining;59674.05
Quarterly;2014-12;2014;Q4;Finance, Insurance, Real Estate & Business Services : Real Estate;42099.42
Quarterly;2014-12;2014;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;31335.24
Quarterly;2014-12;2014;Q4;Gross Value Added;641708.79
Quarterly;2015-03;2015;Q1;Transport, Storage & Communication;40514.21
Quarterly;2015-03;2015;Q1;Finance, Insurance, Real Estate & Business Services;79535.12
Quarterly;2015-03;2015;Q1;Community, Social & Personal Services;17774.06
Quarterly;2015-03;2015;Q1;Gross Value Added;650480.35
Quarterly;2015-06;2015;Q2;Agriculture, Forestry & Fishing;17956.23
Quarterly;2015-06;2015;Q2;Wholesale & Retail Trade, Restaurants & hotels;66751.06
Quarterly;2015-06;2015;Q2;Transport, Storage & Communication;38460.99
Quarterly;2015-09;2015;Q3;Mining & Quarrying;145923.56
Quarterly;2015-09;2015;Q3;Mining & Quarrying : Other Mining & Quarrying;2942.06
Quarterly;2015-09;2015;Q3;Manufacturing : Manufacturing excluding petroleum refining;63713.59
Quarterly;2015-09;2015;Q3;Net Taxes on Products;6693.0
Quarterly;2015-12;2015;Q4;Community, Social & Personal Services;17591.7
Quarterly;2015-12;2015;Q4;Net Taxes on Products;9826.0
Quarterly;2016-03;2016;Q1;Transport, Storage & Communication;41230.79
Quarterly;2016-03;2016;Q1;Community, Social & Personal Services;20567.81
Quarterly;2016-03;2016;Q1;Government Services;126219.04
Quarterly;2016-03;2016;Q1;Net Taxes on Products;3564.0
Quarterly;2016-06;2016;Q2;Mining & Quarrying;136251.45
Quarterly;2016-06;2016;Q2;Manufacturing : Manufacturing excluding petroleum refining;64832.03
Quarterly;2016-06;2016;Q2;Electricity, Gas and Water;10314.4
Quarterly;2016-09;2016;Q3;Agriculture, Forestry & Fishing;18528.12
Quarterly;2016-09;2016;Q3;Wholesale & Retail Trade, Restaurants & hotels;70899.26
Quarterly;2016-09;2016;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;31859.66
Quarterly;2016-09;2016;Q3;Community, Social & Personal Services;19848.73
Quarterly;2016-12;2016;Q4;Manufacturing : Petroleum Refining;16934.93
Quarterly;2016-12;2016;Q4;Electricity, Gas and Water;6902.02
Quarterly;2016-12;2016;Q4;Community, Social & Personal Services;20324.28
Quarterly;2016-12;2016;Q4;Gross Domestic Product;655075.72
Quarterly;2017-03;2017;Q1;Mining & Quarrying : Other Mining & Quarrying;3128.45
Quarterly;2017-03;2017;Q1;Electricity, Gas and Water;4623.69
Quarterly;2017-06;2017;Q2;Agriculture, Forestry & Fishing;19766.18
Quarterly;2017-06;2017;Q2;Mining & Quarrying;152741.3
Quarterly;2017-06;2017;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;35123.47
Quarterly;2017-06;2017;Q2;Government Services;120532.08
Quarterly;2017-06;2017;Q2;Net Taxes on Products;6535.0
Quarterly;2017-06;2017;Q2;Gross Domestic Product;650512.9
Quarterly;2017-09;2017;Q3;Electricity, Gas and Water;17080.05
Quarterly;2017-09;2017;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;34046.47
Quarterly;2017-12;2017;Q4;Mining & Quarrying : Other Mining & Quarrying;2469.25
Quarterly;2017-12;2017;Q4;Manufacturing : Petroleum Refining;20857.14
Quarterly;2017-12;2017;Q4;Transport, Storage & Communication;43684.35
Quarterly;2017-12;2017;Q4;Gross Value Added;698268.18
Quarterly;2018-03;2018;Q1;Mining & Quarrying;210776.57
Quarterly;2018-03;2018;Q1;Mining & Quarrying : Other Mining & Quarrying;3385.45
Quarterly;2018-03;2018;Q1;Electricity, Gas and Water;5278.44
Quarterly;2018-03;2018;Q1;Gross Value Added;730150.71
Quarterly;2018-03;2018;Q1;Gross Domestic Product;749238.65
Quarterly;2018-06;2018;Q2;Agriculture, Forestry & Fishing;20264.78
Quarterly;2018-06;2018;Q2;Electricity, Gas and Water;12260.79
Quarterly;2018-06;2018;Q2;Construction;34863.88
Quarterly;2018-06;2018;Q2;Wholesale & Retail Trade, Restaurants & hotels;67068.58
Quarterly;2018-06;2018;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;50496.15
Quarterly;2018-06;2018;Q2;Government Services;149815.06
Quarterly;2018-06;2018;Q2;Gross Value Added;779994.3
Quarterly;2018-09;2018;Q3;Electricity, Gas and Water;17921.76
Quarterly;2018-09;2018;Q3;Finance, Insurance, Real Estate & Business Services;83172.42
Quarterly;2018-09;2018;Q3;Gross Value Added;778645.24
Quarterly;2018-09;2018;Q3;Gross Domestic Product;801495.77
Quarterly;2018-12;2018;Q4;Mining & Quarrying : Other Mining & Quarrying;2630.52
Quarterly;2018-12;2018;Q4;Electricity, Gas and Water;8503.81
Quarterly;2018-12;2018;Q4;Construction;36265.27
Quarterly;2018-12;2018;Q4;Transport, Storage & Communication;44294.0
Quarterly;2019-03;2019;Q1;Mining & Quarrying;199003.57
Quarterly;2019-03;2019;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;195389.64
Quarterly;2019-03;2019;Q1;Mining & Quarrying : Other Mining & Quarrying;3613.93
Quarterly;2019-03;2019;Q1;Electricity, Gas and Water;5848.4
Quarterly;2019-06;2019;Q2;Mining & Quarrying : Other Mining & Quarrying;3200.38
Quarterly;2019-06;2019;Q2;Manufacturing : Manufacturing excluding petroleum refining;68939.5
Quarterly;2019-06;2019;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;38262.28
Quarterly;2019-06;2019;Q2;Net Taxes on Products;23234.97
Quarterly;2019-09;2019;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;36625.64
Quarterly;2019-09;2019;Q3;Community, Social & Personal Services;24102.82
Quarterly;2019-09;2019;Q3;Government Services;140950.46
Quarterly;2019-09;2019;Q3;Gross Value Added;763350.36
Quarterly;2019-12;2019;Q4;Mining & Quarrying : Other Mining & Quarrying;2873.88
Quarterly;2019-12;2019;Q4;Manufacturing;99274.53
Quarterly;2019-12;2019;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;41954.77
Quarterly;2020-03;2020;Q1;Mining & Quarrying;159598.64
Quarterly;2020-03;2020;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;37396.09
Quarterly;2020-03;2020;Q1;Community, Social & Personal Services;23227.21
Quarterly;2020-03;2020;Q1;Government Services;143760.6
Quarterly;2020-06;2020;Q2;Mining & Quarrying;85831.66
Quarterly;2020-06;2020;Q2;Manufacturing : Manufacturing excluding petroleum refining;59880.89
Quarterly;2020-06;2020;Q2;Construction;35707.31
Quarterly;2020-06;2020;Q2;Finance, Insurance, Real Estate & Business Services;89125.54
Quarterly;2020-06;2020;Q2;Gross Value Added;573043.68
Quarterly;2020-09;2020;Q3;Mining & Quarrying;146818.58
Quarterly;2020-09;2020;Q3;Transport, Storage & Communication;39510.04
Quarterly;2020-09;2020;Q3;Finance, Insurance, Real Estate & Business Services;87099.72
Quarterly;2020-09;2020;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;36605.97
Quarterly;2020-12;2020;Q4;Mining & Quarrying;143364.82
Quarterly;2020-12;2020;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;140347.02
Quarterly;2020-12;2020;Q4;Mining & Quarrying : Other Mining & Quarrying;3017.8
Quarterly;2020-12;2020;Q4;Manufacturing : Petroleum Refining;25486.9
Quarterly;2020-12;2020;Q4;Wholesale & Retail Trade, Restaurants & hotels;76266.37
Quarterly;2020-12;2020;Q4;Finance, Insurance, Real Estate & Business Services;95216.87
Quarterly;2021-03;2021;Q1;Mining & Quarrying : Other Mining & Quarrying;3996.39
Quarterly;2021-03;2021;Q1;Manufacturing : Petroleum Refining;29817.53
Quarterly;2021-03;2021;Q1;Transport, Storage & Communication;42206.17
Quarterly;2021-03;2021;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;35546.72
Quarterly;2021-06;2021;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;180397.15
Quarterly;2021-06;2021;Q2;Mining & Quarrying : Other Mining & Quarrying;3712.17
Quarterly;2021-06;2021;Q2;Finance, Insurance, Real Estate & Business Services;90053.04
Quarterly;2021-06;2021;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;37258.58
Quarterly;2021-06;2021;Q2;Gross Domestic Product;769954.34
Quarterly;2021-09;2021;Q3;Mining & Quarrying;222175.51
Quarterly;2021-09;2021;Q3;Manufacturing;110575.85
Quarterly;2021-09;2021;Q3;Finance, Insurance, Real Estate & Business Services;92352.77
Quarterly;2021-09;2021;Q3;Community, Social & Personal Services;21908.0
Quarterly;2021-09;2021;Q3;Gross Value Added;797463.77
Quarterly;2021-12;2021;Q4;Transport, Storage & Communication;49896.63
Quarterly;2022-03;2022;Q1;Agriculture, Forestry & Fishing;24236.49
Quarterly;2022-03;2022;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;305770.88
Quarterly;2022-03;2022;Q1;Manufacturing : Manufacturing excluding petroleum refining;87528.63
Quarterly;2022-03;2022;Q1;Construction;44813.87
Quarterly;2022-03;2022;Q1;Government Services;144333.0
Quarterly;2022-03;2022;Q1;Net Taxes on Products;52909.59
Quarterly;2022-06;2022;Q2;Wholesale & Retail Trade, Restaurants & hotels;81984.96
Quarterly;2022-06;2022;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;42178.0
Quarterly;2022-09;2022;Q3;Manufacturing : Petroleum Refining;57265.43
Quarterly;2022-09;2022;Q3;Gross Value Added;1015569.12
Quarterly;2022-09;2022;Q3;Gross Domestic Product;1066284.44
Quarterly;2022-12;2022;Q4;Agriculture, Forestry & Fishing;24067.9
Quarterly;2022-12;2022;Q4;Transport, Storage & Communication;57442.5
Quarterly;2022-12;2022;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;53561.19
Quarterly;2023-03;2023;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;267881.64
Quarterly;2023-03;2023;Q1;Mining & Quarrying : Other Mining & Quarrying;4699.28
Quarterly;2023-03;2023;Q1;Manufacturing : Petroleum Refining;59682.4
Quarterly;2023-03;2023;Q1;Finance, Insurance, Real Estate & Business Services;105329.51
Quarterly;2023-03;2023;Q1;Government Services;153523.41
Quarterly;2010-03;2010;Q1;Agriculture, Forestry & Fishing;14015.44
Quarterly;2010-03;2010;Q1;Manufacturing;53525.71
Quarterly;2010-03;2010;Q1;Manufacturing : Petroleum Refining;14398.66
Quarterly;2010-03;2010;Q1;Electricity, Gas and Water;2944.42
Quarterly;2010-03;2010;Q1;Gross Value Added;477076.46
Quarterly;2010-06;2010;Q2;Agriculture, Forestry & Fishing;13490.36
Quarterly;2010-06;2010;Q2;Finance, Insurance, Real Estate & Business Services;44811.19
Quarterly;2010-06;2010;Q2;Gross Domestic Product;477912.07
Quarterly;2010-09;2010;Q3;Finance, Insurance, Real Estate & Business Services;44064.78
Quarterly;2010-09;2010;Q3;Gross Domestic Product;479432.42
Quarterly;2010-12;2010;Q4;Construction;21393.01
Quarterly;2010-12;2010;Q4;Gross Value Added;539104.01
Quarterly;2010-12;2010;Q4;Net Taxes on Products;3900.0
Quarterly;2011-03;2011;Q1;Manufacturing : Petroleum Refining;14306.23
Quarterly;2011-03;2011;Q1;Gross Value Added;600002.11
Quarterly;2011-03;2011;Q1;Gross Domestic Product;603134.11
Quarterly;2011-06;2011;Q2;Mining & Quarrying : Other Mining & Quarrying;2215.39
Quarterly;2011-06;2011;Q2;Manufacturing : Petroleum Refining;16137.85
Quarterly;2011-06;2011;Q2;Construction;26764.81
Quarterly;2011-06;2011;Q2;Gross Domestic Product;637197.46
Quarterly;2011-09;2011;Q3;Mining & Quarrying : Crude Petroleum & Natural Gas;311123.76
Quarterly;2011-09;2011;Q3;Construction;27025.87
Quarterly;2011-09;2011;Q3;Wholesale & Retail Trade, Restaurants & hotels;47477.67
Quarterly;2011-09;2011;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;23598.63
Quarterly;2011-09;2011;Q3;Net Taxes on Products;4994.0
Quarterly;2011-12;2011;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;323520.04
Quarterly;2011-12;2011;Q4;Mining & Quarrying : Other Mining & Quarrying;1890.9
Quarterly;2011-12;2011;Q4;Manufacturing;63175.41
Quarterly;2011-12;2011;Q4;Manufacturing : Petroleum Refining;17215.78
Quarterly;2011-12;2011;Q4;Wholesale & Retail Trade, Restaurants & hotels;51451.64
Quarterly;2011-12;2011;Q4;Gross Value Added;657023.37
Quarterly;2012-03;2012;Q1;Mining & Quarrying;351297.48
Quarterly;2012-03;2012;Q1;Construction;30216.58
Quarterly;2012-03;2012;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;28195.07
Quarterly;2012-03;2012;Q1;Community, Social & Personal Services;11678.55
Quarterly;2012-06;2012;Q2;Manufacturing : Petroleum Refining;17306.86
Quarterly;2012-06;2012;Q2;Finance, Insurance, Real Estate & Business Services;57304.63
Quarterly;2012-06;2012;Q2;Gross Value Added;682413.9
Quarterly;2012-06;2012;Q2;Net Taxes on Products;5260.0
Quarterly;2012-06;2012;Q2;Gross Domestic Product;687673.9
Quarterly;2012-09;2012;Q3;Mining & Quarrying : Crude Petroleum & Natural Gas;310896.11
Quarterly;2012-09;2012;Q3;Manufacturing : Petroleum Refining;16387.11
Quarterly;2012-09;2012;Q3;Construction;29979.59
Quarterly;2012-09;2012;Q3;Wholesale & Retail Trade, Restaurants & hotels;52442.03
Quarterly;2012-09;2012;Q3;Government Services;95272.87
Quarterly;2012-09;2012;Q3;Net Taxes on Products;5757.0
Quarterly;2012-09;2012;Q3;Gross Domestic Product;686867.91
Quarterly;2012-12;2012;Q4;Agriculture, Forestry & Fishing;12674.62
Quarterly;2012-12;2012;Q4;Mining & Quarrying;315858.18
Quarterly;2012-12;2012;Q4;Manufacturing;66698.49
Quarterly;2012-12;2012;Q4;Manufacturing : Petroleum Refining;16537.51
Quarterly;2012-12;2012;Q4;Electricity, Gas and Water;5458.99
Quarterly;2012-12;2012;Q4;Finance, Insurance, Real Estate & Business Services;57857.79
Quarterly;2012-12;2012;Q4;Government Services;97507.32
Quarterly;2013-03;2013;Q1;Agriculture, Forestry & Fishing;16997.92
Quarterly;2013-03;2013;Q1;Mining & Quarrying;306621.14
Quarterly;2013-03;2013;Q1;Mining & Quarrying : Other Mining & Quarrying;2672.81
Quarterly;2013-03;2013;Q1;Manufacturing;72646.29
Quarterly;2013-03;2013;Q1;Net Taxes on Products;3014.0
Quarterly;2013-06;2013;Q2;Agriculture, Forestry & Fishing;16302.11
Quarterly;2013-06;2013;Q2;Manufacturing : Petroleum Refining;14354.13
Quarterly;2013-06;2013;Q2;Electricity, Gas and Water;8179.58
Quarterly;2013-06;2013;Q2;Transport, Storage & Communication;33249.37
Quarterly;2013-06;2013;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;37724.4
Quarterly;2013-09;2013;Q3;Manufacturing;69252.2
Quarterly;2013-09;2013;Q3;Transport, Storage & Communication;31803.82
Quarterly;2013-09;2013;Q3;Gross Value Added;701813.1
Quarterly;2013-09;2013;Q3;Gross Domestic Product;707458.1
Quarterly;2013-12;2013;Q4;Mining & Quarrying : Other Mining & Quarrying;2229.44
Quarterly;2013-12;2013;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;29947.64
Quarterly;2014-03;2014;Q1;Gross Domestic Product;754283.63
Quarterly;2014-06;2014;Q2;Agriculture, Forestry & Fishing;17138.58
Quarterly;2014-06;2014;Q2;Electricity, Gas and Water;9320.24
Quarterly;2014-06;2014;Q2;Community, Social & Personal Services;15237.62
Quarterly;2014-09;2014;Q3;Agriculture, Forestry & Fishing;16385.4
Quarterly;2014-09;2014;Q3;Manufacturing : Petroleum Refining;18410.06
Quarterly;2014-09;2014;Q3;Manufacturing : Manufacturing excluding petroleum refining;59038.21
Quarterly;2014-09;2014;Q3;Electricity, Gas and Water;13204.53
Quarterly;2014-12;2014;Q4;Mining & Quarrying;218354.32
Quarterly;2014-12;2014;Q4;Manufacturing;78480.96
Quarterly;2014-12;2014;Q4;Electricity, Gas and Water;5838.24
Quarterly;2014-12;2014;Q4;Wholesale & Retail Trade, Restaurants & hotels;68740.78
Quarterly;2014-12;2014;Q4;Community, Social & Personal Services;15156.34
Quarterly;2014-12;2014;Q4;Gross Domestic Product;649121.79
Quarterly;2015-03;2015;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;148994.18
Quarterly;2015-03;2015;Q1;Mining & Quarrying : Other Mining & Quarrying;2989.39
Quarterly;2015-03;2015;Q1;Government Services;139561.25
Quarterly;2015-03;2015;Q1;Net Taxes on Products;4230.0
Quarterly;2015-06;2015;Q2;Community, Social & Personal Services;17660.42
Quarterly;2015-09;2015;Q3;Manufacturing : Petroleum Refining;16052.59
Quarterly;2015-09;2015;Q3;Wholesale & Retail Trade, Restaurants & hotels;70352.73
Quarterly;2015-12;2015;Q4;Manufacturing : Manufacturing excluding petroleum refining;64379.56
Quarterly;2015-12;2015;Q4;Wholesale & Retail Trade, Restaurants & hotels;72367.49
Quarterly;2015-12;2015;Q4;Finance, Insurance, Real Estate & Business Services;78039.71
Quarterly;2015-12;2015;Q4;Government Services;100757.25
Quarterly;2016-03;2016;Q1;Agriculture, Forestry & Fishing;19314.74
Quarterly;2016-03;2016;Q1;Construction;40336.95
Quarterly;2016-06;2016;Q2;Manufacturing : Petroleum Refining;15589.27
Quarterly;2016-06;2016;Q2;Transport, Storage & Communication;39976.57
Quarterly;2016-06;2016;Q2;Finance, Insurance, Real Estate & Business Services;81016.72
Quarterly;2016-09;2016;Q3;Mining & Quarrying : Crude Petroleum & Natural Gas;140512.93
Quarterly;2016-09;2016;Q3;Transport, Storage & Communication;37655.55
Quarterly;2016-09;2016;Q3;Gross Domestic Product;625046.18
Quarterly;2016-12;2016;Q4;Construction;39196.83
Quarterly;2016-12;2016;Q4;Transport, Storage & Communication;42206.5
Quarterly;2016-12;2016;Q4;Finance, Insurance, Real Estate & Business Services : Real Estate;47739.35
Quarterly;2017-03;2017;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;158870.52
Quarterly;2017-03;2017;Q1;Construction;39030.36
Quarterly;2017-03;2017;Q1;Wholesale & Retail Trade, Restaurants & hotels;72423.36
Quarterly;2017-03;2017;Q1;Finance, Insurance, Real Estate & Business Services;86463.02
Quarterly;2017-03;2017;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;34445.78
Quarterly;2017-03;2017;Q1;Net Taxes on Products;4548.0
Quarterly;2017-06;2017;Q2;Gross Value Added;643977.9
Quarterly;2017-09;2017;Q3;Mining & Quarrying : Other Mining & Quarrying;3037.8
Quarterly;2017-09;2017;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;48347.32
Quarterly;2017-12;2017;Q4;Electricity, Gas and Water;7158.18
Quarterly;2017-12;2017;Q4;Community, Social & Personal Services;22866.7
Quarterly;2017-12;2017;Q4;Net Taxes on Products;5321.0
Quarterly;2018-03;2018;Q1;Community, Social & Personal Services;23958.1
Quarterly;2018-03;2018;Q1;Government Services;131850.98
Quarterly;2018-06;2018;Q2;Manufacturing : Manufacturing excluding petroleum refining;68369.36
Quarterly;2018-06;2018;Q2;Community, Social & Personal Services;24095.49
Quarterly;2018-09;2018;Q3;Manufacturing;98470.55
Quarterly;2018-09;2018;Q3;Manufacturing : Manufacturing excluding petroleum refining;69698.47
Quarterly;2018-12;2018;Q4;Agriculture, Forestry & Fishing;18036.03
Quarterly;2018-12;2018;Q4;Mining & Quarrying;256292.75
Quarterly;2018-12;2018;Q4;Finance, Insurance, Real Estate & Business Services;90231.28
Quarterly;2018-12;2018;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;39161.45
Quarterly;2018-12;2018;Q4;Community, Social & Personal Services;23825.0
Quarterly;2018-12;2018;Q4;Net Taxes on Products;24217.45
Quarterly;2018-12;2018;Q4;Gross Domestic Product;825379.15
Quarterly;2019-03;2019;Q1;Manufacturing : Petroleum Refining;28208.98
Quarterly;2019-03;2019;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;34626.3
Quarterly;2019-03;2019;Q1;Community, Social & Personal Services;24441.04
Quarterly;2019-03;2019;Q1;Government Services;141481.63
Quarterly;2019-03;2019;Q1;Net Taxes on Products;19079.33
Quarterly;2019-06;2019;Q2;Manufacturing;95624.27
Quarterly;2019-06;2019;Q2;Construction;37965.47
Quarterly;2019-06;2019;Q2;Finance, Insurance, Real Estate & Business Services;89182.88
Quarterly;2019-06;2019;Q2;Gross Value Added;765010.03
Quarterly;2019-09;2019;Q3;Mining & Quarrying : Crude Petroleum & Natural Gas;211883.0
Quarterly;2019-09;2019;Q3;Manufacturing : Petroleum Refining;25087.7
Quarterly;2019-09;2019;Q3;Manufacturing : Manufacturing excluding petroleum refining;71097.84
Quarterly;2019-09;2019;Q3;Gross Domestic Product;786409.44
Quarterly;2019-12;2019;Q4;Mining & Quarrying;222902.31
Quarterly;2019-12;2019;Q4;Gross Value Added;787735.33
Quarterly;2020-03;2020;Q1;Mining & Quarrying : Other Mining & Quarrying;3763.39
Quarterly;2020-03;2020;Q1;Net Taxes on Products;24929.86
Quarterly;2020-06;2020;Q2;Mining & Quarrying : Other Mining & Quarrying;3087.3
Quarterly;2020-06;2020;Q2;Manufacturing : Petroleum Refining;14094.79
Quarterly;2020-06;2020;Q2;Wholesale & Retail Trade, Restaurants & hotels;56773.14
Quarterly;2020-06;2020;Q2;Community, Social & Personal Services;20271.89
Quarterly;2020-06;2020;Q2;Government Services;143966.88
Quarterly;2020-06;2020;Q2;Net Taxes on Products;25277.14
Quarterly;2020-09;2020;Q3;Electricity, Gas and Water;17292.29
Quarterly;2020-12;2020;Q4;Construction;42264.38
Quarterly;2020-12;2020;Q4;Community, Social & Personal Services;22528.71
Quarterly;2020-12;2020;Q4;Net Taxes on Products;35998.75
Quarterly;2021-03;2021;Q1;Mining & Quarrying;152034.39
Quarterly;2021-03;2021;Q1;Electricity, Gas and Water;5040.91
Quarterly;2021-03;2021;Q1;Finance, Insurance, Real Estate & Business Services;90402.38
Quarterly;2021-03;2021;Q1;Government Services;142049.68
Quarterly;2021-06;2021;Q2;Agriculture, Forestry & Fishing;22074.62
Quarterly;2021-06;2021;Q2;Manufacturing;98973.87
Quarterly;2021-06;2021;Q2;Electricity, Gas and Water;10852.9
Quarterly;2021-06;2021;Q2;Construction;38067.94
Quarterly;2021-06;2021;Q2;Government Services;141967.76
Quarterly;2021-09;2021;Q3;Gross Domestic Product;846435.17
Quarterly;2021-12;2021;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;240347.87
Quarterly;2021-12;2021;Q4;Mining & Quarrying : Other Mining & Quarrying;3732.33
Quarterly;2021-12;2021;Q4;Finance, Insurance, Real Estate & Business Services;98555.05
Quarterly;2021-12;2021;Q4;Government Services;151020.56
Quarterly;2021-12;2021;Q4;Gross Value Added;850808.75
Quarterly;2022-03;2022;Q1;Electricity, Gas and Water;5101.4
Quarterly;2022-03;2022;Q1;Transport, Storage & Communication;47585.68
Quarterly;2022-03;2022;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;55226.75
Quarterly;2022-06;2022;Q2;Agriculture, Forestry & Fishing;25172.52
Quarterly;2022-06;2022;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;405843.71
Quarterly;2022-06;2022;Q2;Gross Value Added;1033727.95
Quarterly;2022-09;2022;Q3;Manufacturing;147841.76
Quarterly;2022-09;2022;Q3;Manufacturing : Manufacturing excluding petroleum refining;90576.33
Quarterly;2022-09;2022;Q3;Transport, Storage & Communication;48048.15
Quarterly;2022-09;2022;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;47725.48
Quarterly;2022-09;2022;Q3;Community, Social & Personal Services;24712.22
Quarterly;2022-09;2022;Q3;Government Services;145999.17
Quarterly;2022-12;2022;Q4;Mining & Quarrying : Other Mining & Quarrying;4214.7
Quarterly;2022-12;2022;Q4;Manufacturing : Manufacturing excluding petroleum refining;92316.99
Quarterly;2022-12;2022;Q4;Gross Value Added;971147.68
Quarterly;2022-12;2022;Q4;Net Taxes on Products;52584.86
Quarterly;2023-03;2023;Q1;Manufacturing : Manufacturing excluding petroleum refining;97909.36
Quarterly;2023-03;2023;Q1;Electricity, Gas and Water;5044.09
Quarterly;2023-03;2023;Q1;Transport, Storage & Communication;52784.91
Quarterly;2023-03;2023;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;60125.81
Quarterly;2023-03;2023;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;45203.69
Quarterly;2023-03;2023;Q1;Community, Social & Personal Services;29367.45
Quarterly;2023-03;2023;Q1;Gross Domestic Product;1004619.49
